Running PBS for Block 1

Mempool before block inclusion (PBS):
Transaction ID: 1, Fee: 0.1, MEV: False, Block Created: 1
Transaction ID: 2, Fee: 0.05, MEV: False, Block Created: 1
Transaction ID: 3, Fee: 0.15, MEV: True, Block Created: 1
Transaction ID: 4, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 5, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 6, Fee: 0.05, MEV: False, Block Created: 1
Transaction ID: 7, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 8, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 9, Fee: 0.15, MEV: True, Block Created: 1
Transaction ID: 10, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 11, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 12, Fee: 0.05, MEV: False, Block Created: 1
Transaction ID: 13, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 14, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 15, Fee: 0.05, MEV: False, Block Created: 1
Transaction ID: 16, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 17, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 18, Fee: 0.1, MEV: False, Block Created: 1
Transaction ID: 19, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 20, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 21, Fee: 0.05, MEV: False, Block Created: 1
Transaction ID: 22, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 23, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 24, Fee: 0.2, MEV: True, Block Created: 1
Transaction ID: 25, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 26, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 27, Fee: 0.15, MEV: True, Block Created: 1
Transaction ID: 28, Fee: 0.16, MEV: False, Block Created: 1
Transaction ID: 29, Fee: 0.16, MEV: False, Block Created: 1
